Epoch,Train Loss,Train Acc Score,Train ROCAUC Score,Train f1 Score,Val Loss,Val Acc Score,Val ROCAUC Score,Val f1 Score,Computational Time (m)
1,0.5552401408553124,0.27085597813129425,0.47681673616170883,0.27085597813129425,0.5347457726796468,0.23511904974778494,0.4735233187675476,0.23511904974778494,0.29645455280939736
2,0.506508755683899,0.2699728261679411,0.500162997841835,0.2699728261679411,0.48899171749750775,0.23511904974778494,0.47878243525822956,0.23511904974778494,0.23336206674575805
3,0.4653399869799614,0.30740489065647125,0.5241940215229988,0.30740489065647125,0.45118023951848346,0.3244047661622365,0.4897386332352956,0.3244047661622365,0.23393570979436237
4,0.4319512575864792,0.4323369562625885,0.5487607374787331,0.4323369562625885,0.4201038380463918,0.4449404776096344,0.529318114121755,0.4449404776096344,0.23398043711980185
5,0.4043776959180832,0.5473505437374115,0.5715388387441636,0.5473505437374115,0.39513195554415387,0.5654761989911398,0.5572009682655334,0.5654761989911398,0.23449683984120687
6,0.3816403761506081,0.5552309781312943,0.610709148645401,0.5552309781312943,0.375041663646698,0.5654761989911398,0.5945805311203003,0.5654761989911398,0.23604042132695516
7,0.3645543441176414,0.5582880437374115,0.6199187979102134,0.5582880437374115,0.35871821641921997,0.5654761989911398,0.6090682546297709,0.5654761989911398,0.47599746386210123
8,0.35023224353790283,0.5595108687877655,0.6418035507202149,0.5595108687877655,0.34530914823214215,0.5654761989911398,0.6200647155443827,0.5654761989911398,1.4649946610132853
9,0.338810034096241,0.5582880437374115,0.6461425572633743,0.5582880437374115,0.3345416486263275,0.5654761989911398,0.6285676757494608,0.5654761989911398,1.4647092421849568
10,0.3289162009954453,0.5613451093435288,0.674347648024559,0.5613451093435288,0.3255035976568858,0.5654761989911398,0.6360118389129639,0.5654761989911398,1.464616338411967
11,0.32109629511833193,0.5613451093435288,0.6689339071512223,0.5613451093435288,0.3180931905905406,0.5654761989911398,0.6436676184336344,0.5654761989911398,1.4672201871871948
12,0.31529933512210845,0.5576766297221184,0.6832148432731628,0.5576766297221184,0.31209689378738403,0.5654761989911398,0.6417552431424459,0.5654761989911398,1.4653180638949077
13,0.3095695748925209,0.5595108687877655,0.6854480475187301,0.5595108687877655,0.30690643191337585,0.5654761989911398,0.6442756652832031,0.5654761989911398,1.4712164839108786
14,0.3055100440979004,0.5595108687877655,0.6829253494739532,0.5595108687877655,0.30272920926411945,0.5654761989911398,0.6520772775014242,0.5654761989911398,1.4721429745356243
15,0.30197747647762296,0.5582880437374115,0.6696724727749824,0.5582880437374115,0.29932846625645954,0.5654761989911398,0.6577364802360535,0.5654761989911398,1.4687326987584433
16,0.29914975315332415,0.5588994562625885,0.6917824894189835,0.5588994562625885,0.29653941591580707,0.5654761989911398,0.661135713259379,0.5654761989911398,3.289189859231313
17,0.2962924584746361,0.5588994562625885,0.6867611527442932,0.5588994562625885,0.29400428136189777,0.5654761989911398,0.6629454692204794,0.5654761989911398,3.3279223680496215
18,0.2944274455308914,0.5588994562625885,0.6846919089555741,0.5588994562625885,0.29183803002039593,0.5654761989911398,0.6603609720865885,0.5654761989911398,3.328419284025828
19,0.29297598600387575,0.5582880437374115,0.6872678399085999,0.5582880437374115,0.29015010595321655,0.5654761989911398,0.6636034647623698,0.5654761989911398,3.3305667599042255
20,0.2899799540638924,0.5613451093435288,0.7071568757295609,0.5613451093435288,0.28834890325864154,0.5654761989911398,0.6655836900075277,0.5654761989911398,3.327741821606954
